L,N,N_test,boundary_point_ind,center_G,center_pred,closest_point_ind,data_kwargs,data_sim_func,error_sd,level,model_kwargs_l,models_l,n_boot,p,use_true_contour,contain,contain_scb,contain_CS_scb,Lower_bound,Upper_bound,L1,L2,U1,U2,points_in_e1,inner_points_num,outer_points_num,true_set_points_up_num,true_set_points_low_num,precision_inner,sensitivity_inner,precision_outer,sensitivity_outer,method
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,142,243,233,267,1.0,0.6094420600858369,0.9688715953307393,0.9325842696629214,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.9000000000000341,0.9633333333333334,0.7666666666666666,0.9000000000000341,0.9633333333333334,1.0,10.0,196,296,245,255,1.0,0.8,1.0,0.8,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,201,287,245,255,1.0,0.8204081632653062,1.0,0.8352941176470589,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.8999999999999773,0.98,0.7933333333333334,0.8999999999999773,0.98,0.9933333333333333,7.0,201,344,238,262,1.0,0.8445378151260504,1.0,0.5954198473282443,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,223,328,238,262,0.9775784753363229,0.9159663865546218,1.0,0.6564885496183206,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.9000000000000341,0.9633333333333334,0.7400000000000002,0.9000000000000341,0.9633333333333334,0.99,14.0,216,297,251,249,1.0,0.8605577689243028,1.0,0.8152610441767069,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,227,285,251,249,0.9955947136563876,0.900398406374502,1.0,0.8634538152610441,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,True,True,0.9000000000000341,0.9766666666666667,0.7200000000000002,0.9000000000000341,0.9766666666666667,0.9966666666666667,14.0,229,346,260,240,0.9912663755458515,0.8730769230769231,1.0,0.6416666666666666,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,241,340,260,240,0.970954356846473,0.9,1.0,0.6666666666666667,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.8999999999999773,0.9766666666666667,0.7833333333333332,0.8999999999999773,0.9766666666666667,0.9966666666666667,19.0,175,339,246,254,1.0,0.7113821138211383,1.0,0.6338582677165354,CS_on_mean
