L,N,N_test,center_G,center_pred,data_kwargs,data_sim_func,error_sd,level,model_kwargs_l,models_l,n_boot,p,use_true_contour,contain,contain_scb,contain_CS_scb,Lower_bound,Upper_bound,L1,L2,U1,U2,points_in_e1,inner_points_num,outer_points_num,true_set_points_up_num,true_set_points_low_num,precision_inner,sensitivity_inner,precision_outer,sensitivity_outer,method
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,243,266,258,242,0.9958847736625515,0.937984496124031,0.9829059829059829,0.9504132231404958,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.96,0.5666666666666667,0.9000000000000341,0.96,0.9933333333333333,13.0,118,386,264,236,1.0,0.446969696969697,1.0,0.48305084745762716,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,168,335,264,236,0.9880952380952381,0.6287878787878788,0.9818181818181818,0.6864406779661016,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9533333333333334,0.8533333333333335,0.9000000000000341,0.9533333333333334,0.99,13.0,227,316,250,250,1.0,0.908,1.0,0.736,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,248,296,250,250,0.9879032258064516,0.98,1.0,0.8160000000000001,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.8999999999999773,0.97,0.6400000000000001,0.8999999999999773,0.97,1.0,18.0,41,483,248,252,1.0,0.16532258064516125,1.0,0.06746031746031744,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,153,412,248,252,0.9477124183006536,0.5846774193548387,0.9886363636363636,0.34523809523809523,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.95,0.8399999999999999,0.9000000000000341,0.95,0.99,12.0,207,316,255,245,1.0,0.8117647058823529,1.0,0.7510204081632653,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,239,293,255,245,0.9832635983263598,0.9215686274509804,1.0,0.8448979591836735,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9466666666666667,0.7166666666666668,0.9000000000000341,0.9466666666666667,0.9933333333333333,23.0,3,496,240,260,1.0,0.012499999999999956,1.0,0.01538461538461533,CS_on_y
